Rapporterat vetenskapligt namn	Vetenskapligt namn	DyntaxaID	FÃ¶rÃ¤ldrataxa	Antal rÃ¤knade rader i databasen	AphiaID	Match type	LSID	TSN	Qualitystatus	Taxon status	ScientificName	Authority	AphiaID_accepted	used_aphia_id	ScientificName_accepted	Authority_accepted	Kingdom	Phylum	Class	Order	Family	Genus	Subgenus	Species	Subspecies	isMarine	isBrackish	isFresh	isTerrestrial	Citation		
232829	Cladophora rupestris	232829	Plantae - Viridiplantae - Chlorophyta - Chlorophyta - Ulvophyceae - Cladophorales - Cladophoraceae - Cladophora - Cladophora rupestris	2	145064	exact	urn:lsid:marinespecies.org:taxname:145064	6777	Checked by Taxonomic Editor	accepted	Cladophora rupestris	(Linnaeus) Kützing, 1843	145064	145064	Cladophora rupestris	(Linnaeus) Kützing, 1843	Plantae	Chlorophyta	Ulvophyceae	Cladophorales	Cladophoraceae	Cladophora		rupestris		1	1			Guiry, M.D. & Guiry, G.M. (2022). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Cladophora rupestris (Linnaeus) Kützing, 1843. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=145064 on 2022-09-20		
232842	Monostroma balticum	232842	Plantae - Viridiplantae - Chlorophyta - Chlorophyta - Ulvophyceae - Ulotrichales - Gomontiaceae - Monostroma - Monostroma balticum	6	145938	exact	urn:lsid:marinespecies.org:taxname:145938		Checked by Taxonomic Editor	accepted	Monostroma balticum	Wittrock, 1866	145938	145938	Monostroma balticum	Wittrock, 1866	Plantae	Chlorophyta	Ulvophyceae	Ulotrichales	Monostromataceae	Monostroma		balticum		1	1			Guiry, M.D. & Guiry, G.M. (2022). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Monostroma balticum Wittrock, 1866. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=145938 on 2022-09-20		
251416	Chaetomorpha linum	251416	Plantae - Viridiplantae - Chlorophyta - Chlorophyta - Ulvophyceae - Cladophorales - Cladophoraceae - Chaetomorpha - Chaetomorpha linum	91	145027	exact	urn:lsid:marinespecies.org:taxname:145027	6751	Checked by Taxonomic Editor	accepted	Chaetomorpha linum	(O.F.Müller) Kützing, 1845	145027	145027	Chaetomorpha linum	(O.F.Müller) Kützing, 1845	Plantae	Chlorophyta	Ulvophyceae	Cladophorales	Cladophoraceae	Chaetomorpha		linum		1	1	1		Guiry, M.D. & Guiry, G.M. (2022). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Chaetomorpha linum (O.F.Müller) Kützing, 1845. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=145027 on 2022-09-20		
3000323	Ectocarpales	3000323	Chromista - Harosa - Halvaria - Heterokonta - Ochrophyta - Phaeophyceae - Ectocarpales	5	842	exact	urn:lsid:marinespecies.org:taxname:842	10687	Checked by Taxonomic Editor	accepted	Ectocarpales	Bessey, 1907	842	842	Ectocarpales	Bessey, 1907	Chromista	Ochrophyta	Phaeophyceae	Ectocarpales						1	1	1		Guiry, M.D. & Guiry, G.M. (2022). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Ectocarpales. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=842 on 2022-09-20		
322	Chara baltica	322	Plantae - Viridiplantae - Streptophyta - Charophyta - Charophyceae - Charales - Characeae - Chara - Chara baltica	84	399467	exact	urn:lsid:marinespecies.org:taxname:399467		Checked by Taxonomic Editor	accepted	Chara baltica	(C.J.Hartmann) Bruzelius, 1824	399467	399467	Chara baltica	(C.J.Hartmann) Bruzelius, 1824	Plantae	Charophyta	Charophyceae	Charales	Characeae	Chara		baltica		0	1	1		Guiry, M.D. & Guiry, G.M. (2022). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Chara baltica (C.J.Hartmann) Bruzelius, 1824. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=399467 on 2022-09-20		
325	Chara canescens	325	Plantae - Viridiplantae - Streptophyta - Charophyta - Charophyceae - Charales - Characeae - Chara - Chara canescens	29	399468	exact	urn:lsid:marinespecies.org:taxname:399468	9454	Checked by Taxonomic Editor	accepted	Chara canescens	Loiseleur, 1810	399468	399468	Chara canescens	Loiseleur, 1810	Plantae	Charophyta	Charophyceae	Charales	Characeae	Chara		canescens		0	1	1		Guiry, M.D. & Guiry, G.M. (2022). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Chara canescens Loiseleur, 1810. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=399468 on 2022-09-20		
329	Chara horrida	329	Plantae - Viridiplantae - Streptophyta - Charophyta - Charophyceae - Charales - Characeae - Chara - Chara horrida	1	399470	exact	urn:lsid:marinespecies.org:taxname:399470		Checked by Taxonomic Editor	accepted	Chara horrida	Wahlstedt, 1862	399470	399470	Chara horrida	Wahlstedt, 1862	Plantae	Charophyta	Charophyceae	Charales	Characeae	Chara		horrida			1			Guiry, M.D. & Guiry, G.M. (2022). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Chara horrida Wahlstedt, 1862. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=399470 on 2022-09-20		
5000052	Bacteria	5000052	Bacteria	48685	6	exact	urn:lsid:marinespecies.org:taxname:6	202420	Edited by Database Management Team	accepted	Bacteria		6	6	Bacteria		Bacteria									1	1	1	1	WoRMS (2022). Bacteria. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=6 on 2022-09-20		
Abietinaria abietina	Abietinaria abietina	243072	Animalia - Cnidaria - Hydrozoa - Hydroidolina - Leptothecata - Sertulariidae - Abietinaria - Abietinaria abietina	47	117870	exact	urn:lsid:marinespecies.org:taxname:117870	49946	Checked by Taxonomic Editor	accepted	Abietinaria abietina	(Linnaeus, 1758)	117870	117870	Abietinaria abietina	(Linnaeus, 1758)	Animalia	Cnidaria	Hydrozoa	Leptothecata	Sertulariidae	Abietinaria		abietina		1				Schuchert, P. (2022). World Hydrozoa Database. Abietinaria abietina (Linnaeus, 1758). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=117870 on 2022-09-20		
Ablabesmyia	Ablabesmyia	1010130	Animalia - Arthropoda - Hexapoda - Insecta - Diptera - Nematocera - Chironomoidea - Chironomidae - Tanypodinae - Pentaneurini - Ablabesmyia	48	987209	exact	urn:lsid:marinespecies.org:taxname:987209		Checked by Taxonomic Editor	accepted	Ablabesmyia	Johannsen, 1905	987209	987209	Ablabesmyia	Johannsen, 1905	Animalia	Arthropoda	Hexapoda	Diptera	Chironomidae	Ablabesmyia				0	0	0	1	WoRMS (2022). Ablabesmyia Johannsen, 1905. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=987209 on 2022-09-20		
